object,filt,midut,setid,snr_q,snr_u,dsnr_q,dsnr_u,pa,raps_q,raps_u,pos_q,pos_u,q,dtauq,u,dtauu,dq,du,pol,dpol,theta_p
Ceres,J,2020-10-02T09:22:19.682,1,459.50475739890135,465.409816034966,23.94047248209847,22.71758685993467,0.0,"[30, 30, 30, 30]","[30, 30, 30, 30]","[[63.346, 229.981], [69.503, 246.883], [61.56, 232.764], [67.628, 249.182]]","[[66.77, 240.482], [66.231, 239.914], [64.997, 242.088], [64.286, 241.799]]",0.9483875551552315,-0.01896831981160363,0.779128550266337,-0.01558288632561592,0.10534938491725088,0.10497298214337866,1.2273875722906116,0.10519787415659407,70.29793974766515
Ceres,J,2020-10-02T09:25:01.410,2,477.0633288165676,476.65555723471823,20.558854143143776,20.216292462178387,0.0,"[31, 31, 31, 31]","[30, 30, 30, 30]","[[70.482, 243.33], [65.673, 240.695], [68.921, 246.335], [63.941, 242.847]]","[[68.909, 241.32], [67.634, 242.838], [67.542, 244.674], [66.003, 246.392]]",0.3076538514024278,-0.006153096441299859,1.0667145122736275,-0.02133509949602295,0.10288233447645168,0.10206369152058242,1.11019401141328,0.10212679095800781,53.04411251926819
Ceres,J,2020-10-02T09:27:35.830,3,482.2274792827042,486.2080864890849,18.596876205500166,28.640851088320744,0.0,"[31, 31, 31, 31]","[30, 30, 30, 30]","[[72.034, 245.081], [64.824, 240.923], [70.223, 247.165], [62.797, 242.938]]","[[74.544, 240.651], [62.34, 236.682], [72.358, 243.482], [60.128, 239.784]]",0.2108399253350986,-0.004216804755096754,1.1651701952697249,-0.02330445856477615,0.10228621121769291,0.10112358610952117,1.1840925040131784,0.10116065281292587,50.12840049996086
Ceres,J,2020-10-02T09:30:10.111,4,497.19964897173526,498.50030096885786,11.513132925923571,21.694859858744223,0.0,"[28, 28, 28, 28]","[29, 29, 29, 29]","[[70.922, 242.076], [67.038, 243.259], [68.636, 244.294], [65.628, 246.263]]","[[67.127, 243.082], [64.931, 237.519], [65.679, 245.792], [62.954, 239.954]]",0.06623811304099725,-0.0013247624545656865,1.0340283104586314,-0.020681303321868523,0.09946535785861729,0.09894481953146703,1.0361476894966102,0.0989469523872874,46.832631618355435
Ceres,J,2020-10-02T09:32:44.925,5,499.0447816390563,495.50884789168987,16.303412050241832,22.581333235041427,0.0,"[28, 28, 28, 28]","[29, 29, 29, 29]","[[68.812, 238.532], [65.502, 243.024], [67.152, 240.668], [63.577, 246.036]]","[[69.532, 236.641], [66.28, 242.356], [67.635, 238.685], [63.763, 244.289]]",0.1760857467479535,-0.0035217185747978934,1.370173218066949,-0.027405179440175353,0.09854548602128987,0.09805667069425152,1.3814415795522168,0.0980646321352853,48.66157058633269
Ceres,J,2020-10-02T09:39:14.836,6,513.8061328099955,508.5587922899381,12.843318654906966,22.30957231532534,0.0,"[30, 30, 30, 30]","[31, 31, 31, 31]","[[63.943, 238.79], [67.53, 239.694], [61.456, 240.427], [65.677, 241.145]]","[[69.734, 243.562], [67.905, 240.74], [68.607, 245.858], [66.488, 242.756]]",0.2946187931089611,-0.005892392910921346,0.9796223952572372,-0.0195930746775439,0.09634840681923201,0.09585967821018836,1.0229664073382407,0.09590031127346556,53.36925903595613
Ceres,J,2020-10-02T09:41:49.427,7,516.329539144141,514.5122142943738,13.817202648612124,18.75735526683127,0.0,"[31, 31, 31, 31]","[30, 30, 30, 30]","[[67.697, 241.115], [67.887, 240.905], [65.772, 242.717], [66.147, 243.004]]","[[69.984, 241.743], [65.991, 236.826], [68.158, 242.893], [64.235, 239.27]]",0.11068194276956296,-0.002213639759330844,1.000133876554669,-0.0200033445055785,0.09562343020321705,0.09551674556694402,1.0062396650338898,0.09551803706005799,48.157531166920634
Ceres,J,2020-10-02T09:44:24.043,8,508.6160714316858,507.0381805729253,22.727455699088296,22.56767488963328,0.0,"[29, 29, 29, 29]","[31, 31, 31, 31]","[[65.082, 237.308], [71.299, 245.605], [63.654, 239.244], [68.906, 248.111]]","[[64.219, 238.311], [69.01, 241.178], [62.298, 240.202], [67.753, 243.827]]",0.045391970693886605,-0.0009078394762290578,0.9472808600442593,-0.018946183920718347,0.09648564098773485,0.09622836614071463,0.9483677866785998,0.09622895631551191,46.37170537587061
Ceres,J,2020-10-02T09:46:58.344,9,519.517049988687,525.095371785257,19.26737395395378,15.70674745751262,0.0,"[29, 29, 29, 29]","[32, 32, 32, 32]","[[66.744, 240.755], [68.741, 238.131], [64.28, 243.156], [66.521, 239.999]]","[[67.805, 241.571], [66.994, 240.137], [66.2, 244.294], [65.037, 242.1]]",0.03304694342065616,-0.0006609388924735608,0.936992524338899,-0.018740398940511382,0.09470130896352574,0.09400696603379641,0.937575112263775,0.09400783184536185,46.009968502217625
Ceres,J,2020-10-02T09:49:32.865,10,524.6433041927237,522.5118285057556,12.416517739703409,11.25374764142964,0.0,"[31, 31, 31, 31]","[31, 31, 31, 31]","[[71.296, 241.55], [70.815, 244.03], [70.362, 243.88], [68.937, 246.401]]","[[65.306, 242.692], [66.833, 237.607], [62.973, 245.129], [65.381, 239.619]]",0.30787365742543255,-0.006157492603399842,0.9783651542154452,-0.01956792744652494,0.09447232443980301,0.0946689735187584,1.0256629874961485,0.09465127173961889,53.73391866790695
Ceres,J,2020-10-02T09:52:18.288,11,522.3898425604567,523.6701625145156,9.864471646811353,11.385613368354939,0.0,"[31, 31, 31, 31]","[31, 31, 31, 31]","[[66.941, 237.877], [68.979, 242.046], [65.287, 239.882], [67.532, 244.904]]","[[67.708, 240.901], [65.408, 238.115], [66.721, 243.736], [64.022, 240.114]]",0.11812157728396844,-0.0023624326444240625,1.085692828728698,-0.021714709793273456,0.09486442161905143,0.09447533080218336,1.0920996407713788,0.09447989188367847,48.10463135159583
Ceres,J,2020-10-02T09:54:52.860,12,530.0663702954761,536.900206051772,13.789485334002052,10.78136859947881,0.0,"[31, 31, 31, 31]","[29, 29, 29, 29]","[[70.357, 245.527], [67.566, 239.379], [68.354, 247.743], [66.022, 241.374]]","[[64.771, 237.252], [70.499, 243.124], [63.107, 239.011], [69.318, 246.267]]",0.07055831396778331,-0.0014111665135376778,0.9707587032174263,-0.019415783976346208,0.093101729859851,0.09216416876812639,0.9733195444160954,0.09216912072428195,47.07857884537803
Ceres,J,2020-10-02T09:57:27.608,13,527.7728707004215,533.7576359426363,11.488619217443784,6.781653628421509,0.0,"[29, 29, 29, 29]","[28, 28, 28, 28]","[[67.94, 239.803], [66.01, 242.296], [65.922, 240.949], [63.874, 244.461]]","[[69.252, 239.76], [69.925, 241.246], [66.744, 241.03], [68.233, 243.088]]",0.34585083094646085,-0.006917044197917307,0.9293248842096258,-0.018587032782953178,0.09377474444330444,0.09303026375270997,0.9915934336599813,0.0931211474492697,55.20644487554189
Ceres,J,2020-10-02T10:00:01.818,14,528.9945794912663,532.42820773898,7.828924418013457,10.41432251949584,0.0,"[31, 31, 31, 31]","[31, 31, 31, 31]","[[67.22, 240.335], [68.721, 240.978], [65.033, 242.04], [66.568, 242.139]]","[[69.33, 241.918], [68.308, 240.688], [67.405, 244.228], [66.736, 241.891]]",0.1450218756260298,-0.0029004395458597956,1.1146507672146464,-0.02229393867563078,0.09367520996384789,0.09293458051117198,1.1240452291888843,0.092946957032937,48.70642006601117
