object,filt,midut,setid,snr_q,snr_u,dsnr_q,dsnr_u,pa,raps_q,raps_u,pos_q,pos_u,q,dtauq,u,dtauu,dq,du,pol,dpol,theta_p
Vesta,J,2019-10-22T15:28:13.254,1,333.85186514341893,328.58328594517167,15.247870029107162,12.568946009057413,-80.04999999999998,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[70.133, 240.467], [66.669, 241.932], [68.623, 239.086], [66.602, 244.482]]","[[71.931, 242.774], [65.027, 239.496], [69.107, 244.821], [64.479, 237.822]]",-0.7637653650181424,0.015275604332761586,-0.4025237158220076,0.008050517796224725,0.1473786260432935,0.14874880342245592,0.8633440071028771,0.14767755356671228,166.10481615434384
Vesta,J,2019-10-22T15:29:41.466,2,326.95243873974033,332.56677119998176,21.636620959941183,11.91572700836349,-79.57499999999999,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[71.563, 238.502], [70.141, 239.255], [70.47, 242.474], [68.271, 240.547]]","[[68.71, 238.177], [68.589, 239.95], [66.054, 239.821], [66.004, 243.436]]",-1.4384274728357067,0.02877053384460512,-0.39242864366715635,0.007848613163119071,0.1493848737483406,0.14749312741360315,1.4909975972411766,0.14925459870680743,172.37002636807318
Vesta,J,2019-10-22T15:31:00.893,3,305.0353310730683,308.43650625885175,34.809153940544604,50.20026353468427,-79.15,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[74.27, 236.711], [67.328, 242.077], [72.299, 242.449], [66.454, 245.585]]","[[68.358, 243.671], [69.321, 240.742], [65.563, 245.596], [69.5, 244.867]]",-0.206553604360704,0.004131077962218405,1.1871184524116756,-0.02374348444050722,0.15464164700828628,0.14942873917231975,1.2049541947852997,0.14958451075012605,40.06479584162928
Vesta,J,2019-10-22T15:32:20.084,4,317.075394993034,341.2349181549042,29.62670879554605,18.083847703866354,-78.70000000000002,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[70.502, 240.426], [69.366, 239.137], [69.212, 244.516], [68.929, 240.069]]","[[69.509, 242.969], [70.303, 237.087], [68.695, 244.142], [68.316, 238.422]]",-1.316623062639816,0.02633398298520335,0.0018828722204108392,-3.7657444412759796e-05,0.15090157238621751,0.14278188831037547,1.3166244089651564,0.150901556227281,0.04096865728327259
Vesta,J,2019-10-22T15:33:42.055,5,338.1182909827712,346.53634176324357,24.224973468006965,10.087341686495336,-78.25,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[67.519, 240.69], [72.394, 238.698], [66.355, 244.379], [70.557, 242.236]]","[[67.659, 237.264], [69.83, 242.002], [64.903, 239.497], [67.71, 244.735]]",-0.6692953572940006,0.013386107027955941,0.11911872786106173,-0.0023823756840276205,0.1435166729803845,0.1423096175207737,0.6798128761817781,0.1434797638159195,5.045812496836064
Vesta,J,2019-10-22T15:35:02.911,6,337.28222280426587,336.8098021906608,17.060071237421084,18.55944325631873,-77.75,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[71.129, 242.555], [70.514, 237.213], [68.98, 245.27], [68.878, 239.104]]","[[66.738, 246.105], [70.341, 242.218], [64.45, 245.733], [70.386, 245.407]]",0.08622041791332757,-0.0017244087855728216,0.19242206042933557,-0.0038484459583752583,0.14378129148088695,0.1441522471325198,0.21085589819831868,0.14409028805870458,57.06809117405055
Vesta,J,2019-10-22T15:36:38.717,7,339.6999564871215,340.06369827789234,18.751420055602466,17.548610652825857,-77.20000000000002,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[66.218, 236.101], [67.225, 242.303], [64.61, 237.878], [66.63, 245.4]]","[[74.57, 241.536], [68.538, 239.888], [70.286, 242.521], [67.802, 242.835]]",-0.8925760726862767,0.017851995548559662,0.01141325861121599,-0.0002282651732155982,0.1442871850137375,0.14373633594552843,0.8926490396590274,0.14428709513420906,0.36629702063574143
Vesta,J,2019-10-22T15:37:58.146,8,337.110604501049,340.36177516387926,21.885254139908398,14.865878529196323,-76.75,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[69.868, 237.494], [66.036, 245.558], [68.488, 241.468], [65.157, 248.818]]","[[71.179, 236.415], [69.66, 241.092], [69.502, 239.747], [68.155, 243.99]]",-0.9961284632060028,0.019923228256886465,-0.23784877413277564,0.004756984453079434,0.14374705122327142,0.1440799259857676,1.024130828832731,0.14376502532645263,173.28537389800618
Vesta,J,2019-10-22T15:39:17.815,9,349.90699933201955,337.91180085969955,7.1262081804074455,16.943701230003967,-76.25,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[66.91, 241.838], [71.451, 241.063], [66.238, 244.0], [68.433, 243.419]]","[[64.37, 242.093], [71.611, 244.831], [63.343, 243.77], [69.015, 246.396]]",-0.6226292822994853,0.012452746565042753,0.333105405651339,-0.00666213275393266,0.14129334390351764,0.1449253374587707,0.7061348557116518,0.14210960058631505,14.07334552044577
Vesta,J,2019-10-22T15:40:37.775,10,328.28717309054804,332.08204185433146,19.859608973724562,9.347729758707032,-75.75,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[69.467, 237.601], [69.068, 240.697], [67.017, 239.721], [67.632, 241.513]]","[[69.889, 239.161], [68.002, 240.475], [69.338, 240.537], [66.414, 239.894]]",-0.6520497671010718,0.013041180167590592,-0.5616034871925287,0.011232187832008146,0.1484048623331856,0.14849920540459902,0.8605622438867341,0.14844504920951263,159.6310157070186
Vesta,J,2019-10-22T15:41:57.140,11,305.4580979034111,274.6313711335363,18.64810360834133,35.83646796586902,-75.275,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[70.502, 243.365], [69.279, 240.724], [69.156, 245.235], [67.309, 242.978]]","[[70.217, 238.186], [66.329, 241.002], [69.592, 242.039], [63.649, 242.833]]",-0.5943338953550961,0.011886817868877332,-0.5812393404644332,0.011624917722220223,0.15806377119521547,0.17125332356233378,0.8313073740028363,0.16464371268183736,157.81909186081634
Vesta,J,2019-10-22T15:47:44.092,12,259.64531830843026,309.12584292463816,72.69772905813119,26.200973997669678,0.0,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[76.102, 238.78], [70.493, 242.59], [74.865, 241.308], [68.198, 244.539]]","[[67.542, 244.344], [70.985, 241.0], [65.276, 244.33], [69.204, 242.674]]",0.6398243212803275,-0.012796661048685832,-0.5560504289763671,0.011121123199246036,0.1713519666504968,0.15444497671030877,0.8476834560533983,0.16429045965755332,110.49641980200971
Vesta,J,2019-10-22T15:49:03.389,13,308.6072797446945,324.6496812622945,15.286057263778275,16.154188047211562,0.0,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[67.902, 241.197], [73.471, 233.953], [64.917, 242.129], [70.582, 235.193]]","[[68.78, 241.967], [69.713, 241.284], [67.447, 242.718], [68.399, 242.948]]",0.6843332355749354,-0.01368687837180273,-0.8677671525671745,0.01735577870160991,0.1572427959764255,0.14980834497601803,1.1051388186047044,0.15270182993675724,115.87009851595063
Vesta,J,2019-10-22T15:50:22.788,14,330.81222868704265,333.22813252549344,11.570885171755265,13.202303389252279,0.0,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[70.3, 239.839], [71.652, 239.609], [68.437, 241.449], [70.181, 240.728]]","[[70.545, 242.728], [67.202, 238.829], [67.509, 242.765], [64.414, 239.606]]",0.4013629444113575,-0.008027301992940578,0.006230690369150502,-0.00012461380754420475,0.14816592797422481,0.147114737996847,0.4014113035890129,0.14816567560790436,89.55531073107991
Vesta,J,2019-10-22T15:51:41.828,15,331.28629443753323,267.1895366161508,13.461855726893134,33.84842220400628,0.0,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[69.761, 237.069], [66.396, 241.113], [68.056, 240.064], [64.938, 243.56]]","[[72.885, 242.506], [69.557, 239.452], [69.636, 246.086], [67.309, 240.793]]",0.566846284988781,-0.011337047126150244,-0.3655525850476309,0.0073110842667564,0.14820229364870469,0.17624801268886386,0.6744949245476853,0.15696070307716217,106.40874980962246
Vesta,J,2019-10-22T15:53:00.840,16,202.225726787092,224.17474357145443,17.961600198720816,10.010317472326847,0.0,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[68.075, 238.817], [70.824, 240.589], [66.037, 239.103], [69.656, 242.298]]","[[68.382, 240.57], [69.321, 240.58], [66.858, 242.115], [68.905, 242.427]]",0.23657115998979816,-0.004731432026439668,1.2412172439930769,-0.02482561982732741,0.23727313869899044,0.21642833532859337,1.2635609049526215,0.21719285512231273,50.39546361460702
Vesta,J,2019-10-22T15:54:19.893,17,231.2921779060167,187.22425105930805,42.47366149254921,31.5209294653485,0.0,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[69.71, 241.293], [68.472, 243.307], [66.308, 244.791], [67.005, 243.458]]","[[69.516, 238.106], [70.65, 240.451], [68.785, 239.79], [67.915, 244.294]]",0.19146076685302513,-0.003829220016017662,-0.6153629627956505,0.012307414606417983,0.1998131106668331,0.2468478055823301,0.6444600850515023,0.24306297163772683,126.3586348506094
Vesta,J,2019-10-22T15:55:38.930,18,268.50139971351905,327.2175450148682,59.23792925018671,18.648525069379616,0.0,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[74.244, 237.498], [67.423, 239.028], [72.445, 238.47], [64.651, 241.355]]","[[68.729, 240.533], [73.141, 237.768], [67.243, 245.393], [71.882, 238.284]]",1.1081362494700513,-0.022163632225298244,-0.2020088456962263,0.004040182409598502,0.16793076289333844,0.14848430838273835,1.126398473511516,0.16734048305102472,95.16567357027866
Vesta,J,2019-10-22T15:56:58.307,19,336.95942321479004,348.0918091689286,16.892234070043173,13.620968221250507,0.0,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[66.491, 244.732], [69.005, 240.291], [64.454, 245.869], [68.379, 241.009]]","[[73.823, 242.836], [65.347, 241.293], [72.919, 244.378], [64.319, 242.502]]",1.1063036555555799,-0.022126975853170985,-0.3250067910291347,0.006500158707578993,0.14387195856235122,0.14100188351246137,1.1530555895145276,0.14364603309956497,98.1857927879257
Vesta,J,2019-10-22T15:58:17.502,20,348.09249084191777,345.00633943008705,9.803541438476714,13.486992728702603,0.0,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[75.934, 239.936], [73.84, 242.806], [73.888, 242.473], [71.599, 245.193]]","[[67.103, 240.783], [71.493, 243.014], [64.299, 242.803], [68.553, 244.373]]",0.5918838413920893,-0.011837815065803349,-0.055130194225254024,0.0011026039962113382,0.14120874480454326,0.14155011042743845,0.5944458091503129,0.14121168444621518,92.66069094452898
Vesta,J,2019-10-22T15:59:37.017,21,345.63020090239,339.6301920497683,9.684093974741472,18.47957690546076,0.0,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[71.459, 239.675], [69.718, 241.839], [69.977, 242.492], [66.852, 242.384]]","[[68.981, 240.441], [71.573, 241.838], [66.365, 240.255], [68.905, 244.632]]",0.5899444827283846,-0.01179902653811197,0.42952859803809934,-0.008590624791880117,0.14245956425973952,0.14379841890080916,0.729746058046384,0.1429248304211498,71.97113529861676
Vesta,H,2019-10-22T15:28:13.254,1,549.6464621484671,554.0779994539223,37.8857466852013,31.786424434881383,-80.04999999999998,"[40, 40, 40, 40]","[40, 40, 40, 40]","[[67.752, 239.477], [64.385, 241.027], [68.375, 237.73], [66.464, 243.146]]","[[68.76, 241.721], [61.74, 238.279], [69.014, 243.467], [64.228, 236.521]]",-0.6991352693658511,0.013982933214275614,-0.5253504149217572,0.010507104962080955,0.08820631569487802,0.08749176721033716,0.8745188296027271,0.08794912070515538,161.53887158485503
