object,filt,midut,setid,snr_q,snr_u,dsnr_q,dsnr_u,pa,raps_q,raps_u,pos_q,pos_u,q,dtauq,u,dtauu,dq,du,pol,dpol,theta_p
Vesta,J,2019-12-18T13:20:59.110,1,434.8870118281432,434.94965442153256,25.755814880742548,16.775723780875353,0.0,"[34, 34, 34, 34]","[35, 35, 35, 35]","[[78.286, 240.242], [71.185, 243.523], [75.254, 246.258], [69.257, 248.639]]","[[69.444, 237.406], [71.107, 244.126], [67.544, 241.932], [69.29, 246.626]]",0.2359519550029672,-0.0047190478575752275,0.10004537200827263,-0.0020009081077403063,0.11174940148830792,0.11309763342415298,0.256285780975059,0.11195590168935532,78.51134836287318
Vesta,J,2019-12-18T13:22:33.491,2,360.8823699310118,361.63889062557803,10.109425749837555,14.45133015680392,0.0,"[30, 30, 30, 30]","[29, 29, 29, 29]","[[69.78, 238.625], [68.183, 240.846], [68.418, 238.724], [65.829, 243.128]]","[[68.289, 243.882], [68.483, 236.351], [65.956, 245.547], [66.672, 240.494]]",0.28410457775841313,-0.00568210684298756,-0.11067210529534016,0.0022134430096055024,0.136883250777596,0.1357575983546485,0.30489953426299143,0.13673547194002933,100.64162756739756
Vesta,J,2019-12-18T13:23:59.254,3,359.7935618347698,357.0423553092458,15.720455648544089,15.72172709353299,0.0,"[28, 28, 28, 28]","[31, 31, 31, 31]","[[72.15, 238.111], [68.719, 241.537], [70.7, 244.876], [67.391, 245.351]]","[[69.0, 240.873], [68.745, 243.41], [66.983, 241.566], [66.72, 249.143]]",0.1861768842447669,-0.0037235419870589974,0.30151602955739076,-0.006030338865514075,0.1363974657363977,0.13683711832243464,0.35436386427956035,0.13671590330117084,60.84702784675736
Vesta,J,2019-12-18T13:25:18.136,4,359.58395347458367,359.9882678307801,13.760538906173792,10.394057310942685,0.0,"[29, 29, 29, 29]","[31, 31, 31, 31]","[[73.887, 241.444], [70.002, 237.255], [72.485, 246.612], [67.053, 245.558]]","[[68.619, 240.782], [67.82, 242.675], [65.891, 244.759], [66.589, 248.286]]",0.6657494020559386,-0.013315184762989598,0.6356610000597123,-0.012713391237547526,0.1363735107960654,0.13707736949223395,0.9204820331406547,0.1367096277527686,68.16221669138014
Vesta,J,2019-12-18T13:26:36.624,5,360.99929746894304,361.2462205756601,8.73274068969289,13.35471120360586,0.0,"[30, 30, 30, 30]","[29, 29, 29, 29]","[[69.73, 241.065], [69.37, 238.666], [68.373, 244.547], [66.917, 239.236]]","[[73.132, 239.046], [68.541, 242.404], [70.93, 245.067], [66.442, 250.109]]",0.3191722640631112,-0.0063834669576458124,0.04002483144250456,-0.0008004966715960751,0.13670771652547056,0.1362066212467255,0.3216720710275813,0.13669997247362145,86.42615389064783
Vesta,J,2019-12-18T13:27:56.050,6,360.172016808154,365.4296270714239,11.851762050100092,7.432301405939199,0.0,"[29, 29, 29, 29]","[29, 29, 29, 29]","[[69.564, 235.698], [66.832, 242.762], [65.93, 238.858], [65.645, 244.424]]","[[69.75, 238.904], [68.71, 243.87], [68.037, 240.683], [67.95, 246.599]]",-0.09082622296439044,0.0018165249587960904,0.04819668569872422,-0.0009639337886125284,0.13693716832760822,0.135589719459695,0.10282180357452778,0.13664224974148276,13.976267073060995
Vesta,J,2019-12-18T13:29:13.840,7,356.77015041447737,359.5047644889042,15.142214394657799,10.47470744909225,0.0,"[31, 31, 31, 31]","[30, 30, 30, 30]","[[70.346, 237.984], [71.768, 241.724], [69.17, 239.124], [71.167, 248.61]]","[[69.647, 238.213], [66.607, 237.881], [67.163, 242.233], [65.963, 241.484]]",0.7276176485979967,-0.014552609793952155,0.2309739302827014,-0.004619486820492376,0.13749712855965704,0.13696663257389902,0.7633979296680834,0.13744865063397302,81.19427618806799
Vesta,J,2019-12-18T13:30:43.650,8,358.151244914246,355.4634250690467,12.723962240148182,13.942321041718003,0.0,"[30, 30, 30, 30]","[28, 28, 28, 28]","[[71.591, 239.171], [67.818, 247.218], [69.542, 242.789], [67.379, 246.802]]","[[69.226, 237.762], [70.106, 239.446], [67.862, 241.857], [68.161, 245.204]]",0.3133558929081527,-0.006267138370960619,0.26639246855021603,-0.005327861974076277,0.1368922413217044,0.13800121229701298,0.4112868377672005,0.13735856870710922,69.81561096525209
Vesta,J,2019-12-18T13:32:02.106,9,351.8636234519841,362.73915094219666,14.126859921225957,10.645238556830066,0.0,"[28, 28, 28, 28]","[28, 28, 28, 28]","[[68.692, 238.787], [69.327, 245.069], [66.236, 240.601], [68.982, 247.652]]","[[67.992, 238.56], [69.739, 240.843], [67.718, 242.569], [67.768, 245.634]]",-0.10654151217144495,0.002130831049671305,-0.23467910537497153,0.004693590724050015,0.13896803715180484,0.1358743481669216,0.25773120943218175,0.13640798351389594,147.20874075168203
Vesta,J,2019-12-18T13:33:25.751,10,358.77286420002235,355.26135481174146,9.205728388097384,13.207050134995256,0.0,"[29, 29, 29, 29]","[33, 33, 33, 33]","[[69.479, 239.15], [67.976, 242.752], [67.441, 241.526], [65.641, 245.052]]","[[67.158, 240.037], [69.979, 243.041], [64.958, 245.955], [64.588, 244.681]]",0.3395086309731616,-0.006790198708869925,0.5910001263865886,-0.011820140147418307,0.1372894024130126,0.13828746977070544,0.6815770388549148,0.13804049675008045,59.9379205407632
Vesta,J,2019-12-18T13:34:43.889,11,359.274587047639,363.4195906850659,8.94585787957692,8.465913770561201,0.0,"[32, 32, 32, 32]","[30, 30, 30, 30]","[[67.261, 238.172], [72.005, 241.743], [65.362, 240.136], [71.333, 245.813]]","[[66.925, 239.232], [71.661, 240.848], [65.481, 240.691], [69.788, 245.835]]",0.2946486945262074,-0.005892990944457528,0.6579066549914723,-0.013158322950816094,0.13731671180663305,0.13618793211847743,0.72087378913931,0.13637716396305147,57.06279927792407
Vesta,J,2019-12-18T13:36:03.208,12,356.0783087741303,359.1581453704457,9.940460696791263,14.308855573086248,0.0,"[30, 30, 30, 30]","[28, 28, 28, 28]","[[67.577, 238.644], [67.709, 237.693], [65.883, 245.375], [65.748, 239.434]]","[[65.524, 244.173], [75.405, 239.834], [64.308, 246.924], [73.078, 242.507]]",0.1882690851974019,-0.003765386152787137,0.4479870425609258,-0.00895980079033383,0.13829359735846875,0.13639917555481898,0.48593995384569,0.13668521100094722,56.397427897826475
Vesta,J,2019-12-18T13:37:22.169,13,359.1343431272985,362.1764469403829,9.156549914192283,8.522944222282831,0.0,"[31, 31, 31, 31]","[30, 30, 30, 30]","[[70.233, 242.507], [67.773, 239.056], [67.92, 247.315], [66.391, 242.969]]","[[69.043, 241.051], [70.492, 235.428], [68.017, 245.345], [68.077, 238.951]]",0.1982273383496395,-0.003964551959778692,0.542995352082708,-0.010860013776139462,0.13766613293046429,0.1366096687414014,0.5780467369102662,0.13673433069266305,55.02762558425866
Vesta,J,2019-12-18T13:38:40.282,14,357.45721239837764,363.5055459898338,12.800464595847018,8.359669997122012,0.0,"[29, 29, 29, 29]","[29, 29, 29, 29]","[[66.653, 242.057], [74.709, 240.429], [64.769, 244.267], [71.889, 243.659]]","[[66.017, 241.274], [69.018, 240.971], [64.599, 247.449], [67.948, 246.521]]",0.16049701114836423,-0.0032099429791644335,0.47993917690365023,-0.009598857239067846,0.13755900304485524,0.13566267612949687,0.5060641304365598,0.1358546109038401,54.24525482588522
Vesta,J,2019-12-18T13:39:58.741,15,361.848111343427,358.0752894686635,11.128676838962463,12.516621624528,0.0,"[29, 29, 29, 29]","[31, 31, 31, 31]","[[70.193, 237.048], [69.996, 241.347], [70.258, 238.868], [70.065, 245.427]]","[[68.369, 240.476], [70.567, 244.766], [67.052, 241.516], [68.229, 247.646]]",-0.0162992008948289,0.0003259840207832426,0.38397938312754604,-0.007679625405540937,0.13606678360506957,0.13726927456146018,0.38432516261210475,0.13726712121552814,43.784680677475706
Vesta,J,2019-12-18T13:41:17.250,16,360.2276595469196,359.2522710353186,8.812251395170676,9.421902240351585,0.0,"[31, 31, 31, 31]","[30, 30, 30, 30]","[[66.25, 235.627], [67.377, 243.048], [65.257, 238.976], [65.406, 243.283]]","[[68.805, 239.492], [71.213, 242.813], [67.055, 243.5], [69.973, 247.289]]",0.36110617060566547,-0.007222154803960152,0.89694059729906,-0.017939293029799894,0.13730733721568583,0.1373961949216661,0.9669023226431315,0.13738380470689393,55.96479980763196
Vesta,J,2019-12-18T13:42:35.700,17,362.7911511771915,355.50405073868245,10.40403936904761,14.418684286558346,0.0,"[29, 29, 29, 29]","[29, 29, 29, 29]","[[67.934, 239.477], [70.947, 244.423], [64.884, 240.891], [70.927, 243.769]]","[[66.76, 241.272], [70.212, 239.176], [64.163, 239.847], [68.334, 238.847]]",-0.06662968632624139,0.0013325939237272177,0.6719121247101384,-0.013438444729957038,0.13599669085049595,0.13746042868537064,0.6752076854068131,0.13744625025920723,42.168409776468
Vesta,J,2019-12-18T13:44:05.398,18,358.51126445358204,358.6171301123193,14.567124701098123,11.455362078782855,0.0,"[30, 30, 30, 30]","[29, 29, 29, 29]","[[71.813, 243.084], [66.343, 237.802], [68.414, 246.492], [63.856, 243.141]]","[[68.485, 244.311], [69.164, 237.476], [65.876, 246.81], [66.757, 239.952]]",0.47683152009300245,-0.009536702680427021,0.4849878092843372,-0.009699832237108382,0.1370509636822278,0.13732288045152827,0.6801334234608853,0.137189295122499,67.25706989272936
Vesta,J,2019-12-18T13:45:23.751,19,358.5384998540393,354.86135748105715,11.651419113662598,13.920090096256217,0.0,"[28, 28, 28, 28]","[30, 30, 30, 30]","[[68.435, 243.126], [70.291, 238.58], [66.835, 246.83], [68.744, 240.109]]","[[67.037, 239.121], [71.36, 237.956], [65.719, 242.642], [69.759, 244.919]]",0.5132662086729761,-0.010265414318870954,0.6096392514520708,-0.012192936084766223,0.13745788975118728,0.13784566261127024,0.7969330071446232,0.13768494588012764,65.04731326678515
Vesta,J,2019-12-18T13:46:42.376,20,353.07558394660464,358.63242195285846,13.0545541914953,10.814436264148355,0.0,"[31, 31, 31, 31]","[28, 28, 28, 28]","[[65.999, 243.899], [71.173, 240.145], [65.748, 248.036], [68.61, 245.355]]","[[67.498, 235.086], [73.099, 246.04], [65.762, 237.707], [70.469, 252.274]]",0.07247225074083881,-0.001449445268577316,-0.015405559290270467,0.00030811118824278656,0.1392556841350428,0.13743600050779423,0.07409155406987392,0.1391775054207669,96.00041861961296
Vesta,J,2019-12-18T13:48:06.805,21,358.7312091051694,354.5049200742417,13.56431951625683,10.469545636717783,0.0,"[28, 28, 28, 28]","[30, 30, 30, 30]","[[66.427, 240.244], [70.076, 237.323], [66.839, 244.9], [68.773, 242.711]]","[[72.209, 242.117], [67.358, 241.214], [70.601, 245.332], [63.793, 244.049]]",0.6514406921630287,-0.01302899815137197,0.17345425302133435,-0.0034690885395064633,0.13713556378728603,0.1391178633662085,0.6741374884228253,0.1372676813851145,82.54510126542024
Vesta,J,2019-12-18T13:49:27.204,22,356.6689995907681,356.50151160509455,11.489984327405523,13.07615397807723,0.0,"[30, 30, 30, 30]","[28, 28, 28, 28]","[[69.853, 241.506], [68.003, 239.875], [68.646, 246.671], [64.112, 238.466]]","[[70.208, 238.636], [68.137, 241.191], [68.787, 242.886], [68.744, 245.532]]",0.2310441657186354,-0.004620891536707342,0.32029381653776545,-0.006405898236452269,0.13789472482057125,0.13722430578722306,0.39492978543653556,0.13745412833727277,62.90241099751899
Vesta,J,2019-12-18T13:50:45.656,23,351.956424263497,352.7272132697757,21.242057403031765,13.615652732280466,0.0,"[28, 28, 28, 28]","[28, 28, 28, 28]","[[65.574, 237.312], [71.91, 243.524], [63.897, 240.399], [70.367, 247.356]]","[[66.281, 239.514], [72.593, 241.004], [63.078, 241.752], [69.593, 242.056]]",0.3063888044339152,-0.006127795263435132,0.4398159647838646,-0.008796376014440265,0.13799117066933048,0.13844690621613576,0.5360150952736364,0.13829816798555597,62.431104862467066
Vesta,J,2019-12-18T13:52:04.010,24,357.78197694815384,358.1058820833777,12.849459604065032,10.262708582695609,0.0,"[31, 31, 31, 31]","[27, 27, 27, 27]","[[64.261, 241.61], [69.85, 241.753], [63.851, 244.161], [68.477, 243.508]]","[[71.501, 240.326], [69.616, 237.094], [71.395, 243.361], [68.174, 238.875]]",0.6422518394827811,-0.012845213407898508,0.218495127549365,-0.004369909504996447,0.13752198374618602,0.13765523065723997,0.6784007267698269,0.13753581165689213,80.60580578303379
Vesta,J,2019-12-18T13:53:23.130,25,355.80506766546733,357.686660110819,12.129038962192283,8.575711703896445,0.0,"[32, 32, 32, 32]","[30, 30, 30, 30]","[[66.886, 244.882], [65.041, 243.298], [63.73, 248.203], [63.624, 246.892]]","[[70.981, 237.331], [69.654, 239.625], [68.576, 236.484], [68.546, 241.498]]",0.23325109309807013,-0.004665030322172964,0.3124772189272818,-0.0062495647192677695,0.1383663250942859,0.13813327106312623,0.38993343634519595,0.1382167079527577,63.369895430577046
Vesta,J,2019-12-18T13:54:41.663,26,354.70787745494914,355.91113021894455,12.077915932209862,9.148048898796901,0.0,"[31, 31, 31, 31]","[32, 32, 32, 32]","[[64.102, 240.81], [75.083, 242.264], [62.14, 246.126], [72.855, 243.911]]","[[67.338, 239.226], [69.161, 240.006], [65.598, 243.493], [66.591, 245.776]]",0.7348994941045381,-0.014698254492338756,0.32633013925017396,-0.006526625952711545,0.13919441827309675,0.1387552418935502,0.8040949112002538,0.1391221802655563,78.02825748519226
