object,filt,midut,setid,snr_q,snr_u,dsnr_q,dsnr_u,pa,raps_q,raps_u,pos_q,pos_u,q,dtauq,u,dtauu,dq,du,pol,dpol,theta_p
Vesta,J,2020-02-13T09:20:04.370,1,232.53436215436676,234.39795356012783,8.743547252812476,8.23600488293468,0.0,"[30, 30, 30, 30]","[30, 30, 30, 30]","[[68.358, 239.371], [70.765, 240.763], [67.487, 241.578], [68.788, 245.191]]","[[69.72, 241.07], [68.483, 243.38], [68.318, 243.404], [67.463, 245.5]]",0.8113452573951636,-0.016227261224147388,0.38444723658775465,-0.007688982612876092,0.21161407678271985,0.20901561735789287,0.897820028968827,0.2111400281017241,77.32328440249721
Vesta,J,2020-02-13T09:21:24.048,2,234.08790830128896,236.2265686740351,5.049407287594079,3.9518526101270197,0.0,"[30, 30, 30, 30]","[30, 30, 30, 30]","[[69.857, 241.837], [70.149, 236.41], [68.169, 244.626], [67.771, 237.884]]","[[66.114, 243.758], [70.304, 243.225], [64.421, 246.904], [68.36, 245.157]]",-0.11542581532581271,0.002308517331738429,0.19002772645219138,-0.0038005591037223547,0.21077013310745307,0.20996846178651363,0.222336806813936,0.2101848253410779,29.362424728739946
Vesta,J,2020-02-13T09:22:43.043,3,230.65235308040747,233.33948785943085,11.05956166253037,8.32510812221841,0.0,"[30, 30, 30, 30]","[30, 30, 30, 30]","[[71.24, 240.328], [68.28, 241.948], [69.495, 242.999], [65.547, 243.235]]","[[68.64, 241.719], [69.352, 241.44], [66.538, 245.05], [67.314, 245.511]]",0.1629375244016388,-0.003258753371883582,-0.3400284729518316,0.006800595668468612,0.21192362267968362,0.2110790669526338,0.37705171963019757,0.21123703679082592,122.19841189922656
Vesta,J,2020-02-13T09:24:02.367,4,233.03077527748758,232.20771718269714,6.203459810211797,6.914706864775184,0.0,"[30, 30, 30, 30]","[30, 30, 30, 30]","[[71.672, 242.461], [66.992, 239.425], [69.621, 245.229], [64.91, 242.744]]","[[70.603, 241.301], [70.657, 239.436], [69.148, 246.317], [68.388, 241.344]]",-0.6168731541871901,0.012337619580834496,0.21368839632323497,-0.004273774431546407,0.21162240930814952,0.21233665102514482,0.6528362881152125,0.2116990487187681,9.55318936661672
Vesta,J,2020-02-13T09:25:23.231,5,234.76922465875398,233.27585554560437,4.049669594184479,5.757466310558357,0.0,"[30, 30, 30, 30]","[30, 30, 30, 30]","[[69.89, 244.236], [69.145, 241.884], [68.329, 245.173], [67.282, 245.13]]","[[70.5, 239.529], [66.909, 240.842], [68.685, 241.394], [65.291, 244.231]]",-0.555638402569057,0.011112882416490267,-0.5919545418664155,0.011839229124833915,0.21112351155756726,0.21150601980496017,0.8118769697717575,0.21132694442966585,156.59372597955098
Vesta,J,2020-02-13T09:26:42.531,6,233.26225626543672,235.45972334683708,7.41636322582076,4.927059658117855,0.0,"[30, 30, 30, 30]","[30, 30, 30, 30]","[[69.699, 239.57], [69.769, 244.008], [67.074, 240.951], [67.735, 245.735]]","[[67.519, 242.955], [69.859, 238.037], [66.01, 245.208], [68.471, 241.179]]",0.39877466801939,-0.007975535636551427,0.295506200424035,-0.005910141211742878,0.21066825823287705,0.21009503238631635,0.49633169387318465,0.2104652409565125,71.7301199182678
Vesta,J,2020-02-13T09:28:03.032,7,232.95049407537542,231.45883131207233,6.59938030907108,8.770216803808523,0.0,"[30, 30, 30, 30]","[30, 30, 30, 30]","[[68.664, 241.883], [69.743, 243.69], [66.332, 246.009], [67.889, 246.702]]","[[73.792, 234.457], [65.68, 243.504], [71.485, 236.965], [63.61, 246.251]]",-0.17503072800036035,0.0035006181348128705,-0.5295171696278095,0.010590442374547746,0.2114148208466129,0.21136502067106655,0.5576954264425902,0.21136992648899008,144.14559444366716
Vesta,J,2020-02-13T09:29:22.080,8,233.39972840812112,232.54088127239723,6.559441817675491,4.918008733188003,0.0,"[30, 30, 30, 30]","[30, 30, 30, 30]","[[70.89, 238.275], [68.973, 239.113], [69.364, 239.426], [67.468, 240.606]]","[[71.69, 242.426], [68.195, 242.899], [66.913, 243.253], [65.934, 245.461]]",-0.1798737025659422,0.0035974779311480115,-0.3278801991398572,0.006557627482215551,0.2106397703532918,0.21285576904678302,0.3739785740691216,0.21234518644200023,149.3744939872648
Vesta,J,2020-02-13T09:30:41.146,9,233.82814694968926,234.52751244848966,3.5694814015267013,3.9011497235695174,0.0,"[30, 30, 30, 30]","[30, 30, 30, 30]","[[69.612, 237.861], [70.243, 239.34], [67.338, 239.608], [68.155, 243.227]]","[[69.726, 242.477], [67.8, 239.772], [66.748, 245.429], [66.414, 241.563]]",-0.18236035109548138,0.0036472110648827355,-0.041210072789244906,0.0008242015024421597,0.21228990640810497,0.21131839181854495,0.18695873274859912,0.2122428067367547,173.63304979815229
Vesta,J,2020-02-13T09:32:00.170,10,231.30743946758557,231.07640255697373,8.924953207670796,7.538795749096494,0.0,"[30, 30, 30, 30]","[30, 30, 30, 30]","[[68.319, 239.474], [69.617, 239.485], [65.735, 240.245], [67.996, 244.586]]","[[69.309, 244.122], [67.915, 239.601], [67.574, 246.351], [65.494, 241.31]]",-0.1053288191281566,0.0021065771615869076,-0.4140442425755829,0.008280932172462027,0.2126212166138744,0.21240354347139193,0.42723154723044515,0.21241678022835445,142.13637203826957
